"id","custom_id","title","content","url","mp_seller","mp_price","mp_product_image"
16749594,"3384828341984361857",Kawasaki GPZ900R Oil & Filter Change Super 4 & Hiflo HF401 GPZ900 GPZ 900R 900 R,"Kawasaki GPZ900R Oil & Filter Change Super 4 & Hiflo HF401 GPZ900 GPZ 900R 900 R | Vehicle Parts & Accessories, Motorcycle & Scooter Parts & Accessories, Engines & Engine Parts | eBay!",https://www.ebay.com.my/itm/372250736446,The GPZ900R Shop,"265.84 MYR",https://scrapeengine.iptwins.guru/api/image?file=production/first_image_6895fd8825d5d7.90297477.png
16749601,"6660261174873729052",Kawasaki Genuine Oil Filter Kxf250 All Models pn 52010 0001.,"Kawasaki Genuine Oil Filter Kxf250 All Models pn 52010 0001. | Vehicle Parts & Accessories, Trials & Motocross Bike Parts | eBay!",https://www.ebay.com.my/itm/282687268941,Cradley Kawasaki,"68.5 MYR",https://scrapeengine.iptwins.guru/api/image?file=production/first_image_6895fd8a986eb7.35129374.png
16749602,"1819475044015571003","4 x Kawasaki KLX300R 1996-2007 HIflofiltro Premium Oil Filter HF112","4 x Kawasaki KLX300R 1996-2007 HIflofiltro Premium Oil Filter HF112 | Vehicle Parts & Accessories, Motorcycle & Scooter Parts & Accessories, Engines & Engine Parts | eBay!",https://www.ebay.com.my/itm/405497479914,Gate3 Motorcycles,"79.93 MYR",https://scrapeengine.iptwins.guru/api/image?file=production/first_image_6895fd8d60fd62.80851265.png
16749617,"5518336933432159380",Genuine Kawasaki Oil Filter 16097-1002 Same As Hi FLO HF125,"Genuine Kawasaki Oil Filter 16097-1002 Same As Hi FLO HF125 | Vehicle Parts & Accessories, Motorcycle & Scooter Parts & Accessories, Engines & Engine Parts | eBay!",https://www.ebay.com.my/itm/405550738619,Adams BikeBits,"48.56 MYR",https://scrapeengine.iptwins.guru/api/image?file=production/first_image_6895fd8f712043.20869252.png
16749641,"2308972099526347886",Kawasaki KX450F Service Kit 2006-2015 Motocross Oil Air Filter Oil Filter Plug,"Kawasaki KX450F Service Kit 2006-2015 Motocross Oil Air Filter Oil Filter Plug | Vehicle Parts & Accessories, Trials & Motocross Bike Parts | eBay!",https://www.ebay.com.my/itm/186045434860,Ecosse MX,"302.75 MYR",https://scrapeengine.iptwins.guru/api/image?file=production/first_image_6895fd916d5803.74175782.png
16749662,"1907666356903317218",NEW GENUINE KAWASAKI EN-500 EX-500 KAF-450 OIL FILTER 160971064 (JC),"NEW GENUINE KAWASAKI EN-500 EX-500 KAF-450 OIL FILTER 160971064 (JC) | Vehicle Parts & Accessories, Motorcycle & Scooter Parts & Accessories, Engines & Engine Parts | eBay!",https://www.ebay.com.my/itm/181808837904,aprilia-vecchi,"45.42 MYR",https://scrapeengine.iptwins.guru/api/image?file=production/first_image_6895fd944c0306.35228250.png
16749666,"3426501949475940638",Kawasaki 16097-1054 Filter-assy-oil NOS NEU genuine xs9979,"Kawasaki 16097-1054 Filter-assy-oil NOS NEU genuine xs9979 | Auto & Motorrad: Teile, Motorrad- & Rollerteile & -zubehör, Sonstige | eBay!",https://www.ebay.com.my/itm/125042667622,Die Moped Schrauber,"39.12 MYR",https://scrapeengine.iptwins.guru/api/image?file=production/first_image_6895fd974a1471.86712121.png
16749722,"2562816721356900381","4 x Kawasaki KLX450R 2008-2022 HIflofiltro Premium Oil Filter HF112","4 x Kawasaki KLX450R 2008-2022 HIflofiltro Premium Oil Filter HF112 | Vehicle Parts & Accessories, Motorcycle & Scooter Parts & Accessories, Engines & Engine Parts | eBay!",https://www.ebay.com.my/itm/401185599750,Gate3 Motorcycles,"79.93 MYR",https://scrapeengine.iptwins.guru/api/image?file=production/first_image_6895fd9aea04d9.63993478.png
16749727,"1284523803200441980",Kawasaki Obsolete Oil Filter 490657003,"Kawasaki Obsolete Oil Filter 490657003 | Garden & Patio, Garden Power Tools & Equipment, Chainsaw Parts | eBay!",https://www.ebay.com.my/itm/166464352442,farehamgardenmachinery,"28.57 MYR",https://scrapeengine.iptwins.guru/api/image?file=production/first_image_6895fd9d1da891.42252195.png
16749737,"5278923333071873862",Kawasaki Oil Filter - 16099-004,"Kawasaki Oil Filter - 16099-004 | Vehicle Parts & Accessories, Motorcycle & Scooter Parts & Accessories, Other Motorcycle & Scooter Parts & Accessories | eBay!",https://www.ebay.com.my/itm/387692409038,RON DALEY SCOOTERS BARNSLEY,"34.28 MYR",https://scrapeengine.iptwins.guru/api/image?file=production/first_image_6895fda05d9252.55877436.png
16749739,"1011997820727772420",OIL FILTER KAWASAKI GENUINE 16097-0004 16097-0008 16097-0002 PREMIUM STRAINER,"OIL FILTER KAWASAKI GENUINE 16097-0004 16097-0008 16097-0002 PREMIUM STRAINER | eBay Motors, Parts & Accessories, Motorcycle & Scooter Parts & Accessories | eBay!",https://www.ebay.com.my/itm/321105597634,Speed Rider Com,"71.77 MYR",https://scrapeengine.iptwins.guru/api/image?file=production/first_image_6895fda2436fc8.69268135.png
16749740,"8764391393728500021",Kawasaki KX450F KXF450 2016-2024 HIflofiltro Premium Oil Filter HF207,"Kawasaki KX450F KXF450 2016-2024 HIflofiltro Premium Oil Filter HF207 | Vehicle Parts & Accessories, Trials & Motocross Bike Parts | eBay!",https://www.ebay.com.my/itm/326208999648,Gate3 Motorcycles,"45.65 MYR",https://scrapeengine.iptwins.guru/api/image?file=production/first_image_6895fda468f633.51117133.png
16749759,"2336269333768426077",Kawasaki KX450F Service Kit 2019-2022 Motocross Oil Air Filter Oil Filter Plug,"Kawasaki KX450F Service Kit 2019-2022 Motocross Oil Air Filter Oil Filter Plug | Vehicle Parts & Accessories, Trials & Motocross Bike Parts | eBay!",https://www.ebay.com.my/itm/145257571372,Ecosse MX,"302.75 MYR",https://scrapeengine.iptwins.guru/api/image?file=production/first_image_6895fda69cc050.53733912.png
16749779,"1494176077517500000",Genuine Kawasaki part oil filter 16097-1002 / HF125 / X324,"Genuine Kawasaki part oil filter 16097-1002 / HF125 / X324 | Vehicle Parts & Accessories, Motorcycle & Scooter Parts & Accessories, Engines & Engine Parts | eBay!",https://www.ebay.com.my/itm/155130903760,Brownies Bike Spares LTD,"51.36 MYR",https://scrapeengine.iptwins.guru/api/image?file=production/first_image_6895fda9aa2173.21600194.png
16749782,"6544292080185200557",GENUINE KAWASAKI MOTORCYCLE CANISTER TYPE SCREW-ON OIL FILTER Pt. No: 16097-0002,GENUINE KAWASAKI MOTORCYCLE CANISTER TYPE SCREW-ON OIL FILTER Pt. No: 16097-0002,https://www.ebay.com.my/itm/314627858208,BUGGY AND QUADBIKE SPARES,"85.64 MYR",https://scrapeengine.iptwins.guru/api/image?file=production/first_image_6895fdac6aa631.43860096.png
16749786,"2697932056062179634",Genuine Kawasaki Oil Filter 16097-1072 nos,"Genuine Kawasaki Oil Filter 16097-1072 nos | Vehicle Parts & Accessories, Motorcycle & Scooter Parts & Accessories, Engines & Engine Parts | eBay!",https://www.ebay.com.my/itm/196397102682,memorabilia*man*,"57.13 MYR",https://scrapeengine.iptwins.guru/api/image?file=production/first_image_6895fdaec9aed0.74817839.png
16749796,"3194046132747215757","3 X KAWASAKI Z 900 1000 1300 OIL FILTER 16099-002","3 X KAWASAKI Z 900 1000 1300 OIL FILTER 16099-002 | Vehicle Parts & Accessories, Motorcycle & Scooter Parts & Accessories, Engines & Engine Parts | eBay!",https://www.ebay.com.my/itm/295246887188,alle-german,"71.42 MYR",https://scrapeengine.iptwins.guru/api/image?file=production/first_image_6895fdb06f7391.34275692.png
16749826,"7850133791820886986",Kawasaki KX450F Service Kit 2016-2018 Motocross Oil Air Filter Oil Filter Plug,"Kawasaki KX450F Service Kit 2016-2018 Motocross Oil Air Filter Oil Filter Plug | Vehicle Parts & Accessories, Trials & Motocross Bike Parts | eBay!",https://www.ebay.com.my/itm/145257555809,Ecosse MX,"302.75 MYR",https://scrapeengine.iptwins.guru/api/image?file=production/first_image_6895fdb3365cf4.98554801.png
16749833,"3661996634018663534",Kawasaki Oil Filter - 16099-003,"Kawasaki Oil Filter - 16099-003 | Vehicle Parts & Accessories, Motorcycle & Scooter Parts & Accessories, Other Motorcycle & Scooter Parts & Accessories | eBay!",https://www.ebay.com.my/itm/387692408984,RON DALEY SCOOTERS BARNSLEY,"34.28 MYR",https://scrapeengine.iptwins.guru/api/image?file=production/first_image_6895fdb5c434c1.38949510.png
16749836,"7251101927648715068",Kawasaki OEM Replacement Oil Filter Mule 2510 3010 4010 16097-1069,"Kawasaki OEM Replacement Oil Filter Mule 2510 3010 4010 16097-1069 | eBay Motors, Parts & Accessories, Motorcycle & Scooter Parts & Accessories | eBay!",https://www.ebay.com.my/itm/352737650841,Koup's Cycle Shop Inc,"60.3 MYR",https://scrapeengine.iptwins.guru/api/image?file=production/first_image_6895fdb775a0a5.55138879.png
16749856,"7342536766457777139",Kawasaki KX 450F Hi Flo Oil Filter Pack Of X5 Motocross 2016 - 24 Filters HF207,"Kawasaki KX 450F Hi Flo Oil Filter Pack Of X5 Motocross 2016 - 24 Filters HF207 | Vehicle Parts & Accessories, Trials & Motocross Bike Parts | eBay!",https://www.ebay.com.my/itm/186522512725,Dirt hut,"113.98 MYR",https://scrapeengine.iptwins.guru/api/image?file=production/first_image_6895fdb94dfa05.19642214.png
16749864,"6614166443784676226",Kawasaki Oil Filter KLX110 KLX125 KLX250F KLX450F OEM 52010-1053,"Kawasaki Oil Filter KLX110 KLX125 KLX250F KLX450F OEM 52010-1053 | eBay Motors, Parts & Accessories, Motorcycle & Scooter Parts & Accessories | eBay!",https://www.ebay.com.my/itm/115946051723,Indostuff14,"71.98 MYR",https://scrapeengine.iptwins.guru/api/image?file=production/first_image_6895fdbbc84208.80937932.png
16749865,"1809815527151086939",Kawasaki GPZ900R Service Kit NGK/Air & Oil Filter/Comp 4 GPZ900 GPZ 900R 900 R,"Kawasaki GPZ900R Service Kit NGK/Air & Oil Filter/Comp 4 GPZ900 GPZ 900R 900 R | Vehicle Parts & Accessories, Motorcycle & Scooter Parts & Accessories, Engines & Engine Parts | eBay!",https://www.ebay.com.my/itm/372250735651,The GPZ900R Shop,"462.27 MYR",https://scrapeengine.iptwins.guru/api/image?file=production/first_image_6895fdbebb0f02.87343202.png
16749873,"3153848593378472514","4 x Kawasaki KLX110 2002-2023 HIflofiltro Premium Oil Filter HF112","4 x Kawasaki KLX110 2002-2023 HIflofiltro Premium Oil Filter HF112 | Vehicle Parts & Accessories, Motorcycle & Scooter Parts & Accessories, Engines & Engine Parts | eBay!",https://www.ebay.com.my/itm/234122879337,Gate3 Motorcycles,"79.93 MYR",https://scrapeengine.iptwins.guru/api/image?file=production/first_image_6895fdc1db5037.18097636.png
16749903,"7975515976248314113",NOS OEM Kawasaki Oil Filter Element 16099-002 Z1 KZ900 KZ1000 KZ1300 KZ 6PC,"NOS OEM Kawasaki Oil Filter Element 16099-002 Z1 KZ900 KZ1000 KZ1300 KZ 6PC | eBay Motors, Parts & Accessories, Motorcycle & Scooter Parts & Accessories | eBay!",https://www.ebay.com.my/itm/236159688230,Classic Runners USA Inc,"254.06 MYR",https://scrapeengine.iptwins.guru/api/image?file=production/first_image_6895fdc3c1edf9.46227350.png
16749911,"8834300156096508151",ER-6F ER-6N GTR1000 ER500 EN500 KLE + New Genuine Kawasaki Oil Filter 16097-0004,"ER-6F ER-6N GTR1000 ER500 EN500 KLE + New Genuine Kawasaki Oil Filter 16097-0004 | Vehicle Parts & Accessories, Motorcycle & Scooter Parts & Accessories, Engines & Engine Parts | eBay!",https://www.ebay.com.my/itm/266942377955,spi-ger,"85.41 MYR",https://scrapeengine.iptwins.guru/api/image?file=production/first_image_6895fdc642c711.60183245.png
16749912,"8161187509873094722",KAWASAKI OEM OIL FILTER 160970008,"KAWASAKI OEM OIL FILTER 160970008 | Vehicle Parts & Accessories, Motorcycle & Scooter Parts & Accessories, Other Motorcycle & Scooter Parts & Accessories | eBay!",https://www.ebay.com.my/itm/396223817119,TeamMoto,"69.04 MYR",https://scrapeengine.iptwins.guru/api/image?file=production/first_image_6895fdca3fa283.78781813.png
16749917,"6963969719082760802",Kawasaki KX250F Service Kit 2011-2016 Motocross Oil Air Filter Oil Filter Plug,"Kawasaki KX250F Service Kit 2011-2016 Motocross Oil Air Filter Oil Filter Plug | Vehicle Parts & Accessories, Trials & Motocross Bike Parts | eBay!",https://www.ebay.com.my/itm/145257544832,Ecosse MX,"302.69 MYR",https://scrapeengine.iptwins.guru/api/image?file=production/first_image_6895fdcc55d0f3.51392794.png
